Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,OI Chg,Volume Open Interest Ratio,Type,,Time,Avg IV,
3850,6.31%,279.90,282.25,284.60,0,0,unch,0,0,unch,22.71%,Call,N/A,16.79%,width: 1%,width: 1%
3860,6.06%,270.70,273.15,275.60,0,0,unch,0,0,unch,22.54%,Call,N/A,16.79%,width: 1%,width: 1%
3870,5.82%,261.60,264.05,266.50,0,0,unch,0,0,unch,22.33%,Call,N/A,16.79%,width: 1%,width: 1%
3875,5.70%,257.10,259.5,261.90,0,0,unch,0,0,unch,22.22%,Call,N/A,16.79%,width: 1%,width: 1%
3880,5.58%,252.50,254.95,257.40,0,0,unch,0,0,unch,22.10%,Call,N/A,16.79%,width: 1%,width: 1%
3890,5.33%,243.50,245.9,248.30,0,0,unch,0,0,unch,21.86%,Call,N/A,16.79%,width: 1%,width: 1%
3900,5.09%,234.60,236.95,239.30,224,224,unch,1,1,unch,21.65%,Call,4/10/23,16.79%,width: 1%,width: 1%
3910,4.85%,225.70,228.05,230.40,0,0,unch,0,0,unch,21.42%,Call,N/A,16.79%,width: 1%,width: 1%
3920,4.60%,216.90,219.25,221.60,0,0,unch,0,0,unch,21.20%,Call,N/A,16.79%,width: 1%,width: 1%
3925,4.48%,212.60,214.9,217.20,0,0,unch,0,0,unch,21.10%,Call,N/A,16.79%,width: 1%,width: 1%
3930,4.36%,208.20,210.5,212.80,0,0,unch,0,0,unch,20.98%,Call,N/A,16.79%,width: 1%,width: 1%
3935,4.24%,203.90,206.15,208.40,0,0,unch,0,0,unch,20.86%,Call,N/A,16.79%,width: 1%,width: 1%
3940,4.12%,199.60,201.85,204.10,0,0,unch,0,0,unch,20.76%,Call,N/A,16.79%,width: 1%,width: 1%
3945,3.99%,195.30,197.55,199.80,0,0,unch,0,0,unch,20.64%,Call,N/A,16.79%,width: 1%,width: 1%
3950,3.87%,191.10,193.3,195.50,0,0,unch,0,0,unch,20.54%,Call,N/A,16.79%,width: 1%,width: 1%
3955,3.75%,186.90,189.1,191.30,0,0,unch,0,0,unch,20.44%,Call,N/A,16.79%,width: 1%,width: 1%
3960,3.63%,182.70,184.85,187.00,0,0,unch,0,0,unch,20.32%,Call,N/A,16.79%,width: 1%,width: 1%
3965,3.51%,178.50,180.65,182.80,0,0,unch,0,0,unch,20.21%,Call,N/A,16.79%,width: 1%,width: 1%
3970,3.39%,174.30,176.45,178.60,0,0,unch,0,0,unch,20.09%,Call,N/A,16.79%,width: 1%,width: 1%
3975,3.26%,170.20,172.3,174.40,0,0,unch,0,0,unch,19.98%,Call,N/A,16.79%,width: 1%,width: 1%
3980,3.14%,166.10,168.2,170.30,0,0,unch,0,0,unch,19.87%,Call,N/A,16.79%,width: 1%,width: 1%
3985,3.02%,162.00,164.1,166.20,0,0,unch,0,0,unch,19.76%,Call,N/A,16.79%,width: 1%,width: 1%
3990,2.90%,158.00,160.05,162.10,0,0,unch,0,0,unch,19.65%,Call,N/A,16.79%,width: 1%,width: 1%
3995,2.78%,154.00,156.05,158.10,0,0,unch,0,0,unch,19.55%,Call,N/A,16.79%,width: 1%,width: 1%
4000,2.66%,150.00,152,154.00,129.78,129.78,unch,2,1,unch,19.42%,Call,4/10/23,16.79%,width: 1.2422360248447204%,width: 1%
4005,2.53%,146.00,148,150.00,0,0,unch,0,0,unch,19.30%,Call,N/A,16.79%,width: 1%,width: 1%
4010,2.41%,142.10,144.1,146.10,0,0,unch,0,0,unch,19.20%,Call,N/A,16.79%,width: 1%,width: 1%
4015,2.29%,138.20,140.15,142.10,120.1,120.1,unch,4,0,unch,19.07%,Call,4/10/23,16.79%,width: 2.484472049689441%,width: 1%
4020,2.17%,134.50,136.4,138.30,119,0.58,0.49%,12,13,1,19.00%,Call,4/10/23,16.79%,width: 7.453416149068323%,width: 1%
4025,2.05%,130.60,132.5,134.40,111.2,111.2,unch,10,6,unch,18.87%,Call,4/10/23,16.79%,width: 6.211180124223603%,width: 1%
4030,1.93%,126.90,128.75,130.60,119.91,0,unch,0,11,unch,18.77%,Call,4/5/23,16.79%,width: 1%,width: 1%
4035,1.80%,124.40,125,125.60,104.3,104.3,unch,5,0,unch,18.66%,Call,4/10/23,16.79%,width: 3.1055900621118013%,width: 1%
4040,1.68%,120.70,121.3,121.90,130.5,0,unch,0,8,unch,18.55%,Call,4/3/23,16.79%,width: 1%,width: 1%
4045,1.56%,117.00,117.6,118.20,0,0,unch,0,0,unch,18.43%,Call,N/A,16.79%,width: 1%,width: 1%
4050,1.44%,113.40,113.95,114.50,94.51,-3.57,-3.64%,2,16,1,18.32%,Call,4/10/23,16.79%,width: 1.2422360248447204%,width: 1%
4055,1.32%,109.80,110.35,110.90,99.6,99.6,unch,6,0,unch,18.20%,Call,4/10/23,16.79%,width: 3.7267080745341614%,width: 1%
4060,1.20%,106.20,106.8,107.40,99.42,99.42,unch,5,24,unch,18.09%,Call,4/10/23,16.79%,width: 3.1055900621118013%,width: 1%
4065,1.07%,102.70,103.3,103.90,0,0,unch,0,0,unch,17.98%,Call,N/A,16.79%,width: 1%,width: 1%
4070,0.95%,99.20,99.8,100.40,89.6,89.6,unch,10,3,unch,17.86%,Call,4/10/23,16.79%,width: 6.211180124223603%,width: 1%
4075,0.83%,95.80,96.4,97.00,107.3,0,unch,0,5,unch,17.75%,Call,4/3/23,16.79%,width: 1%,width: 1%
4080,0.71%,92.40,93,93.60,87.8,0,unch,0,8,unch,17.63%,Call,4/5/23,16.79%,width: 1%,width: 1%
4085,0.59%,89.10,89.7,90.30,0,0,unch,0,0,unch,17.53%,Call,N/A,16.79%,width: 1%,width: 1%
4090,0.47%,85.80,86.4,87.00,70.5,70.5,unch,4,18,unch,17.41%,Call,4/10/23,16.79%,width: 2.484472049689441%,width: 1%
4095,0.34%,82.60,83.15,83.70,0,0,unch,0,0,unch,17.29%,Call,N/A,16.79%,width: 1%,width: 1%
4100,0.22%,79.40,79.95,80.50,62.6,-17.1,-21.46%,2,602,2,17.17%,Call,4/10/23,16.79%,width: 1.2422360248447204%,width: 23.08282208588957%
4105,0.10%,76.30,76.85,77.40,59.93,-15.57,-20.62%,1,6,6,17.06%,Call,4/10/23,16.79%,width: 1%,width: 1%
4110,-0.02%,73.20,73.8,74.40,57.36,57.36,unch,1,28,unch,16.95%,Call,4/10/23,16.79%,width: 1%,width: 1.0736196319018405%
4115,-0.14%,70.20,70.65,71.10,64.7,-4.95,-7.11%,7,6,6,16.80%,Call,4/10/23,16.79%,width: 4.3478260869565215%,width: 1%
4120,-0.27%,67.30,67.9,68.50,72.38,0,unch,0,14,unch,16.73%,Call,4/4/23,16.79%,width: 1%,width: 1%
4125,-0.39%,64.40,65,65.60,59.2,-5,-7.79%,3,39,4,16.62%,Call,4/10/23,16.79%,width: 1.8633540372670807%,width: 1.495398773006135%
4130,-0.51%,61.60,62.05,62.50,51,51,unch,13,"2,595",unch,16.48%,Call,4/10/23,16.79%,width: 8.074534161490684%,width: 99.50153374233128%
4135,-0.63%,58.80,59.3,59.80,46.6,-12.1,-20.61%,28,4,4,16.37%,Call,4/10/23,16.79%,width: 17.391304347826086%,width: 1%
4140,-0.75%,56.20,56.75,57.30,51.6,-4.88,-8.64%,9,12,unch,16.30%,Call,4/10/23,16.79%,width: 5.590062111801243%,width: 1%
4145,-0.87%,53.50,53.95,54.40,47.8,-5.9,-10.99%,8,"2,608",3,16.14%,Call,4/10/23,16.79%,width: 4.968944099378882%,width: 100%
4150,-1.00%,51.00,51.45,51.90,45.9,45.9,unch,61,15,unch,16.05%,Call,4/10/23,16.79%,width: 37.88819875776397%,width: 1%
4155,-1.12%,48.50,49.1,49.70,43.2,43.2,unch,30,40,unch,15.98%,Call,4/10/23,16.79%,width: 18.633540372670808%,width: 1.5337423312883436%
4160,-1.24%,46.10,46.7,47.30,35.1,-11.37,-24.47%,17,673,1,15.88%,Call,4/10/23,16.79%,width: 10.559006211180124%,width: 25.80521472392638%
4165,-1.36%,43.80,44.25,44.70,38.8,38.8,unch,37,0,unch,15.76%,Call,4/10/23,16.79%,width: 22.981366459627328%,width: 1%
4170,-1.48%,41.50,42.05,42.60,34.8,-7.25,-17.24%,12,12,1,15.68%,Call,4/10/23,16.79%,width: 7.453416149068323%,width: 1%
4175,-1.60%,39.30,39.75,40.20,34.96,34.96,unch,161,12,unch,15.55%,Call,4/10/23,16.79%,width: 100%,width: 1%
4180,-1.73%,37.20,37.75,38.30,28.44,-9.62,-25.28%,1,12,4,15.49%,Call,4/10/23,16.79%,width: 1%,width: 1%
4190,-1.97%,33.20,33.75,34.30,0,0,unch,0,20,9,15.31%,Call,N/A,16.79%,width: 1%,width: 1%
4200,-2.21%,29.50,29.9,30.30,26.05,-4.26,-14.05%,28,307,24,15.11%,Call,4/10/23,16.79%,width: 17.391304347826086%,width: 11.771472392638037%
4210,-2.46%,26.00,26.4,26.80,20.4,-6.5,-24.16%,2,20,20,14.92%,Call,4/10/23,16.79%,width: 1.2422360248447204%,width: 1%
4220,-2.70%,22.90,23.25,23.60,0,0,unch,0,0,unch,14.76%,Call,N/A,16.79%,width: 1%,width: 1%
4225,-2.82%,21.40,21.85,22.30,15.76,-6.93,-30.54%,1,53,46,14.71%,Call,4/10/23,16.79%,width: 1%,width: 2.0322085889570554%
4250,-3.43%,15.10,15.45,15.80,11.07,-5.11,-31.58%,6,946,32,14.34%,Call,4/10/23,16.79%,width: 3.7267080745341614%,width: 36.27300613496933%
4300,-4.65%,6.90,7.1,7.30,6.27,-1.93,-23.54%,1,376,54,13.78%,Call,4/10/23,16.79%,width: 1%,width: 14.417177914110429%
4400,-7.08%,1.20,1.33,1.45,1.2,-0.62,-34.07%,2,83,22,13.37%,Call,4/10/23,16.79%,width: 1.2422360248447204%,width: 3.1825153374233124%
4500,-9.51%,0.25,0.33,0.40,0.27,-0.08,-22.86%,1,17,12,14.14%,Call,4/10/23,16.79%,width: 1%,width: 1%
4600,-11.95%,0.10,0.18,0.25,0.2,0,unch,0,30,18,16.46%,Call,4/5/23,16.79%,width: 1%,width: 1.1503067484662577%
4800,-16.81%,0.00,0.05,0.10,0.08,0,unch,0,3,unch,0.00%,Call,4/5/23,16.79%,width: 1%,width: 1%
5000,-21.68%,0.00,0.05,0.10,0,0,unch,0,0,unch,0.00%,Call,N/A,16.79%,width: 1%,width: 1%
1200,-70.80%,0.00,0.05,0.10,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
1400,-65.93%,0.00,0.05,0.10,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
1600,-61.06%,0.00,0.05,0.10,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
1800,-56.19%,0.00,0.05,0.10,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
2000,-51.33%,0.00,0.05,0.10,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
2200,-46.46%,0.00,0.05,0.10,0.05,0.05,unch,18,0,unch,75.36%,Put,4/10/23,16.79%,width: 7.659574468085106%,width: 1%
2400,-41.59%,0.00,0.08,0.15,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
2600,-36.73%,0.05,0.15,0.25,0.25,0,unch,0,2,unch,61.22%,Put,4/4/23,16.79%,width: 1%,width: 1%
2800,-31.86%,0.15,0.25,0.35,0.43,0,unch,0,3,unch,54.36%,Put,4/5/23,16.79%,width: 1%,width: 1%
3000,-26.99%,0.35,0.43,0.50,0.4,0.4,unch,1,8,unch,47.44%,Put,4/10/23,16.79%,width: 1%,width: 1%
3100,-24.56%,0.45,0.53,0.60,0.88,0,unch,0,13,10,44.17%,Put,4/5/23,16.79%,width: 1%,width: 1.314459049544995%
3200,-22.12%,0.55,0.65,0.75,1.15,0,unch,0,22,11,40.62%,Put,4/4/23,16.79%,width: 1%,width: 2.224469160768453%
3300,-19.69%,0.75,0.83,0.90,0.9,0.9,unch,235,236,unch,37.55%,Put,4/10/23,16.79%,width: 100%,width: 23.86248736097068%
3350,-18.47%,0.90,0.98,1.05,1.72,0,unch,0,9,unch,35.62%,Put,4/5/23,16.79%,width: 1%,width: 1%
3400,-17.26%,1.05,1.13,1.20,1.2,-0.2,-14.29%,5,732,6,34.25%,Put,4/10/23,16.79%,width: 2.127659574468085%,width: 74.01415571284126%
3450,-16.04%,1.20,1.3,1.40,1.55,1.55,unch,10,15,unch,32.29%,Put,4/10/23,16.79%,width: 4.25531914893617%,width: 1.5166835187057632%
3500,-14.82%,1.45,1.55,1.65,1.65,1.65,unch,4,539,unch,31.00%,Put,4/10/23,16.79%,width: 1.702127659574468%,width: 54.4994944388271%
3550,-13.61%,1.80,1.9,2.00,2.35,-0.06,-2.49%,10,20,unch,29.25%,Put,4/10/23,16.79%,width: 4.25531914893617%,width: 2.0222446916076846%
3600,-12.39%,2.25,2.38,2.50,4.7,0,unch,0,102,unch,27.83%,Put,4/5/23,16.79%,width: 1%,width: 10.313447927199192%
3650,-11.17%,2.90,3.05,3.20,3.4,-0.42,-10.99%,2,407,31,26.48%,Put,4/10/23,16.79%,width: 1%,width: 41.15267947421638%
3700,-9.96%,3.90,4,4.10,4.4,-0.67,-13.21%,1,191,89,25.20%,Put,4/10/23,16.79%,width: 1%,width: 19.312436804853387%
3750,-8.74%,5.30,5.45,5.60,5.72,-1.88,-24.74%,3,129,29,24.06%,Put,4/10/23,16.79%,width: 1.276595744680851%,width: 13.043478260869565%
3775,-8.13%,6.20,6.4,6.60,7,-1,-12.50%,49,42,42,23.50%,Put,4/10/23,16.79%,width: 20.851063829787233%,width: 4.246713852376137%
3800,-7.52%,7.40,7.55,7.70,10.62,1.11,11.67%,1,158,31,22.97%,Put,4/10/23,16.79%,width: 1%,width: 15.975733063700709%
3825,-6.91%,8.70,8.9,9.10,9.77,-1.44,-12.85%,2,25,25,22.42%,Put,4/10/23,16.79%,width: 1%,width: 2.5278058645096055%
3850,-6.31%,10.30,10.6,10.90,11.2,-2.25,-16.73%,3,78,9,21.93%,Put,4/10/23,16.79%,width: 1.276595744680851%,width: 7.886754297269969%
3860,-6.06%,11.10,11.4,11.70,12.05,-2.3,-16.03%,2,8,8,21.75%,Put,4/10/23,16.79%,width: 1%,width: 1%
3870,-5.82%,11.90,12.2,12.50,0,0,unch,0,4,4,21.54%,Put,N/A,16.79%,width: 1%,width: 1%
3875,-5.70%,12.20,12.55,12.90,13.59,-2.67,-16.42%,2,531,466,21.40%,Put,4/10/23,16.79%,width: 1%,width: 53.69059656218403%
3880,-5.58%,12.80,13.1,13.40,0,0,unch,0,6,6,21.36%,Put,N/A,16.79%,width: 1%,width: 1%
3890,-5.33%,13.70,14,14.30,0,0,unch,0,18,18,21.14%,Put,N/A,16.79%,width: 1%,width: 1.820020222446916%
3900,-5.09%,14.70,15,15.30,16.6,-1.77,-9.64%,29,725,-93,20.93%,Put,4/10/23,16.79%,width: 12.340425531914894%,width: 73.30637007077856%
3910,-4.85%,15.80,16.1,16.40,0,0,unch,0,5,5,20.74%,Put,N/A,16.79%,width: 1%,width: 1%
3920,-4.60%,16.90,17.25,17.60,0,0,unch,0,5,5,20.54%,Put,N/A,16.79%,width: 1%,width: 1%
3925,-4.48%,17.50,17.85,18.20,19.36,-3.12,-13.88%,1,989,1,20.44%,Put,4/10/23,16.79%,width: 1%,width: 100%
3930,-4.36%,18.20,18.55,18.90,0,0,unch,0,5,5,20.36%,Put,N/A,16.79%,width: 1%,width: 1%
3935,-4.24%,18.80,19.15,19.50,21.7,21.7,unch,7,0,unch,20.24%,Put,4/10/23,16.79%,width: 2.9787234042553195%,width: 1%
3940,-4.12%,19.50,19.85,20.20,22.45,-1.55,-6.46%,7,2,2,20.15%,Put,4/10/23,16.79%,width: 2.9787234042553195%,width: 1%
3945,-3.99%,20.20,20.55,20.90,28.96,4.29,17.39%,1,11,11,20.05%,Put,4/10/23,16.79%,width: 1%,width: 1.1122345803842264%
3950,-3.87%,20.90,21.25,21.60,30.65,5.04,19.68%,5,50,14,19.95%,Put,4/10/23,16.79%,width: 2.127659574468085%,width: 5.055611729019211%
3955,-3.75%,21.60,22,22.40,28.56,28.56,unch,2,0,unch,19.85%,Put,4/10/23,16.79%,width: 1%,width: 1%
3960,-3.63%,22.30,22.75,23.20,38.3,0,unch,0,115,unch,19.74%,Put,4/5/23,16.79%,width: 1%,width: 11.627906976744185%
3965,-3.51%,23.20,23.55,23.90,30.48,2.28,8.09%,2,2,2,19.64%,Put,4/10/23,16.79%,width: 1%,width: 1%
3970,-3.39%,23.90,24.35,24.80,39.4,0,unch,0,26,1,19.53%,Put,4/4/23,16.79%,width: 1%,width: 2.62891809908999%
3975,-3.26%,24.80,25.2,25.60,27.84,-2.26,-7.51%,113,151,1,19.43%,Put,4/10/23,16.79%,width: 48.08510638297872%,width: 15.267947421638016%
3980,-3.14%,25.60,26.05,26.50,34.77,-7.45,-17.65%,5,631,-12,19.32%,Put,4/10/23,16.79%,width: 2.127659574468085%,width: 63.80182002022244%
3985,-3.02%,26.60,27,27.40,0,0,unch,0,1,1,19.23%,Put,N/A,16.79%,width: 1%,width: 1%
3990,-2.90%,27.50,27.9,28.30,40,0,unch,0,103,94,19.11%,Put,4/5/23,16.79%,width: 1%,width: 10.414560161779574%
3995,-2.78%,28.50,28.9,29.30,39.81,5.61,16.40%,3,1,1,19.02%,Put,4/10/23,16.79%,width: 1.276595744680851%,width: 1%
4000,-2.66%,29.50,29.9,30.30,33.29,-3,-8.27%,56,37,8,18.92%,Put,4/10/23,16.79%,width: 23.829787234042556%,width: 3.741152679474216%
4005,-2.53%,30.50,30.9,31.30,0,0,unch,0,10,10,18.80%,Put,N/A,16.79%,width: 1%,width: 1.0111223458038423%
4010,-2.41%,31.50,31.95,32.40,39.7,39.7,unch,3,119,unch,18.69%,Put,4/10/23,16.79%,width: 1.276595744680851%,width: 12.032355915065724%
4015,-2.29%,32.60,33.05,33.50,41,2.36,6.11%,3,1,1,18.59%,Put,4/10/23,16.79%,width: 1.276595744680851%,width: 1%
4020,-2.17%,33.70,34.15,34.60,51.59,0,unch,0,14,12,18.47%,Put,4/4/23,16.79%,width: 1%,width: 1.4155712841253791%
4025,-2.05%,34.80,35.25,35.70,47.49,6.25,15.16%,1,3,2,18.35%,Put,4/10/23,16.79%,width: 1%,width: 1%
4030,-1.93%,36.00,36.45,36.90,49.02,49.02,unch,1,1,unch,18.24%,Put,4/10/23,16.79%,width: 1%,width: 1%
4035,-1.80%,37.30,37.75,38.20,0,0,unch,0,2,2,18.15%,Put,N/A,16.79%,width: 1%,width: 1%
4040,-1.68%,38.50,38.95,39.40,53.55,0,unch,0,18,unch,18.02%,Put,4/5/23,16.79%,width: 1%,width: 1.820020222446916%
4045,-1.56%,39.80,40.25,40.70,0,0,unch,0,3,3,17.91%,Put,N/A,16.79%,width: 1%,width: 1%
4050,-1.44%,41.10,41.55,42.00,59.1,0,unch,0,75,1,17.78%,Put,4/5/23,16.79%,width: 1%,width: 7.583417593528817%
4055,-1.32%,42.50,42.95,43.40,54.7,5.34,10.82%,8,4,4,17.67%,Put,4/10/23,16.79%,width: 3.404255319148936%,width: 1%
4060,-1.20%,43.90,44.35,44.80,56.5,56.5,unch,16,0,unch,17.55%,Put,4/10/23,16.79%,width: 6.808510638297872%,width: 1%
4065,-1.07%,45.40,45.85,46.30,0,0,unch,0,4,4,17.44%,Put,N/A,16.79%,width: 1%,width: 1%
4070,-0.95%,46.90,47.4,47.90,56.88,0,unch,0,8,unch,17.33%,Put,4/3/23,16.79%,width: 1%,width: 1%
4075,-0.83%,48.40,48.9,49.40,0,0,unch,0,5,5,17.20%,Put,N/A,16.79%,width: 1%,width: 1%
4080,-0.71%,50.00,50.5,51.00,64.2,-9.44,-12.82%,14,22,12,17.08%,Put,4/10/23,16.79%,width: 5.957446808510639%,width: 2.224469160768453%
4085,-0.59%,51.70,52.15,52.60,68,8.56,14.40%,12,5,5,16.96%,Put,4/10/23,16.79%,width: 5.106382978723404%,width: 1%
4090,-0.47%,53.40,53.9,54.40,57.36,-13.32,-18.85%,1,82,4,16.85%,Put,4/10/23,16.79%,width: 1%,width: 8.291203235591507%
4095,-0.34%,55.20,55.65,56.10,70.1,7.28,11.59%,7,6,6,16.72%,Put,4/10/23,16.79%,width: 2.9787234042553195%,width: 1%
4100,-0.22%,57.00,57.45,57.90,76.69,76.69,unch,1,686,unch,16.60%,Put,4/10/23,16.79%,width: 1%,width: 69.36299292214359%
4105,-0.10%,58.80,59.3,59.80,0,0,unch,0,13,13,16.47%,Put,N/A,16.79%,width: 1%,width: 1.314459049544995%
4110,0.02%,60.80,61.25,61.70,65.4,-7.4,-10.16%,11,13,10,16.36%,Put,4/10/23,16.79%,width: 4.680851063829787%,width: 1.314459049544995%
4115,0.14%,62.70,63.2,63.70,68.1,68.1,unch,4,0,unch,16.23%,Put,4/10/23,16.79%,width: 1.702127659574468%,width: 1%
4120,0.27%,64.80,65.3,65.80,87.35,87.35,unch,1,8,unch,16.12%,Put,4/10/23,16.79%,width: 1%,width: 1%
4125,0.39%,66.90,67.4,67.90,85.6,85.6,unch,6,12,unch,15.99%,Put,4/10/23,16.79%,width: 2.553191489361702%,width: 1.2133468149646107%
4130,0.51%,69.00,69.55,70.10,91.15,0,unch,0,9,unch,15.87%,Put,4/5/23,16.79%,width: 1%,width: 1%
4135,0.63%,71.30,71.8,72.30,77.2,77.2,unch,24,0,unch,15.75%,Put,4/10/23,16.79%,width: 10.212765957446807%,width: 1%
4140,0.75%,73.60,74.1,74.60,92.6,92.6,unch,6,0,unch,15.62%,Put,4/10/23,16.79%,width: 2.553191489361702%,width: 1%
4145,0.87%,75.90,76.5,77.10,80.5,0,unch,0,7,unch,15.51%,Put,4/4/23,16.79%,width: 1%,width: 1%
4150,1.00%,78.40,79,79.60,89.3,89.3,unch,5,6,unch,15.40%,Put,4/10/23,16.79%,width: 2.127659574468085%,width: 1%
4155,1.12%,80.90,81.5,82.10,0,0,unch,0,0,unch,15.27%,Put,N/A,16.79%,width: 1%,width: 1%
4160,1.24%,83.50,84.1,84.70,0,0,unch,0,9,9,15.15%,Put,N/A,16.79%,width: 1%,width: 1%
4165,1.36%,86.10,86.7,87.30,108,108,unch,4,0,unch,15.01%,Put,4/10/23,16.79%,width: 1.702127659574468%,width: 1%
4170,1.48%,88.80,89.4,90.00,113.8,113.8,unch,3,5,unch,14.87%,Put,4/10/23,16.79%,width: 1.276595744680851%,width: 1%
4175,1.60%,91.60,92.2,92.80,110.6,0,unch,0,5,unch,14.74%,Put,4/5/23,16.79%,width: 1%,width: 1%
4180,1.73%,94.50,95.1,95.70,0,0,unch,0,0,unch,14.62%,Put,N/A,16.79%,width: 1%,width: 1%
4190,1.97%,99.20,100.95,102.70,0,0,unch,0,0,unch,14.32%,Put,N/A,16.79%,width: 1%,width: 1%
4200,2.21%,105.30,107.15,109.00,0,0,unch,0,0,unch,14.02%,Put,N/A,16.79%,width: 1%,width: 1%
4210,2.46%,111.80,113.7,115.60,0,0,unch,0,0,unch,13.71%,Put,N/A,16.79%,width: 1%,width: 1%
4220,2.70%,117.20,120.5,123.80,0,0,unch,0,0,unch,13.37%,Put,N/A,16.79%,width: 1%,width: 1%
4225,2.82%,121.90,123.95,126.00,0,0,unch,0,0,unch,13.15%,Put,N/A,16.79%,width: 1%,width: 1%
4250,3.43%,140.30,142.45,144.60,0,0,unch,0,0,unch,11.64%,Put,N/A,16.79%,width: 1%,width: 1%
4300,4.65%,181.50,183.95,186.40,202.94,0,unch,0,1,unch,0.00%,Put,4/5/23,16.79%,width: 1%,width: 1%
4400,7.08%,275.40,278,280.60,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
4500,9.51%,374.00,376.65,379.30,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
4600,11.95%,473.50,476.15,478.80,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
4800,16.81%,672.80,675.45,678.10,691.81,0,unch,0,1,unch,0.00%,Put,4/5/23,16.79%,width: 1%,width: 1%
5000,21.68%,872.10,874.8,877.50,0,0,unch,0,0,unch,0.00%,Put,N/A,16.79%,width: 1%,width: 1%
